 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																										
C02.050B	14R0328A	14R0328A	5	2	B2	2	REFT2B	143	2																																																																																																																																																										
C13.013B	14R0328A	14R0328A	6	2	B2	13	REFT2B	144	2																																																																																																																																																										
C05.037B	14R0328A	14R0328A	7	2	B2	5	REFT2B	145	2																																																																																																																																																										
C11.013B	14R0328A	14R0328A	8	2	B2	11	REFT2B	146	2																																																																																																																																																										
C02.094B	14R0328A	14R0328A	5	2	B2	2	REFT2B	147	2																																																																																																																																																										
C14.028B	14R0328A	14R0328A	6	2	B2	14	REFT2B	148	2																																																																																																																																																										
C08.052B	14R0328A	14R0328A	7	2	B2	8	REFT2B	149	2																																																																																																																																																										
C12.023B	14R0328A	14R0328A	8	2	B2	12	REFT2B	150	2																																																																																																																																																										
C04.001B	14R0328A	14R0328A	5	2	B2	4	REFT2B	151	2																																																																																																																																																										
C02.068B	14R0328A	14R0328A	6	2	B2	2	REFT2B	152	2																																																																																																																																																										
C01.039B	14R0328A	14R0328A	7	2	B2	1	REFT2B	153	2																																																																																																																																																										
C17.005B	14R0328A	14R0328A	8	2	B2	17	REFT2B	154	2																																																																																																																																																										
C05.024B	14R0328A	14R0328A	5	2	B2	5	REFT2B	155	2																																																																																																																																																										
C07.053B	14R0328A	14R0328A	6	2	B2	7	REFT2B	156	2																																																																																																																																																										
C21.001B	14R0328A	14R0328A	7	2	B2	21	REFT2B	157	2																																																																																																																																																										
C23.065B	14R0328A	14R0328A	8	2	B2	23	REFT2B	158	2																																																																																																																																																										
C18.020B	14R0328A	14R0328A	5	2	B2	18	REFT2B	159	2																																																																																																																																																										
6p22-p24-01	14R0328A	14R0328A	6	2	B2	6	REFT2B	160	2																																																																																																																																																										
6p22-p24-02	14R0328A	14R0328A	7	2	B2	6	REFT2B	161	2																																																																																																																																																										
6p22-p24-03	14R0328A	14R0328A	8	2	B2	6	REFT2B	162	2																																																																																																																																																										
6p22-p24-04	14R0328A	14R0328A	5	2	B2	6	REFT2B	163	2																																																																																																																																																										
6q16-01	14R0328A	14R0328A	6	2	B2	6	REFT2B	164	2																																																																																																																																																										
6q16-02	14R0328A	14R0328A	7	2	B2	6	REFT2B	165	2																																																																																																																																																										
6q16-03	14R0328A	14R0328A	8	2	B2	6	REFT2B	166	2																																																																																																																																																										
11q23-01	14R0328A	14R0328A	5	2	B2	11	REFT2B	167	2																																																																																																																																																										
11q23-02	14R0328A	14R0328A	6	2	B2	11	REFT2B	168	2																																																																																																																																																										
